timestamp[s] latitude[f] longitude[f]
16-03-30T23:09:21.000 37.875931 -122.265088
16-03-30T23:10:51.000 37.875839 -122.265701
16-03-30T23:13:50.000 37.875978 -122.266222
16-03-30T23:15:19.000 37.875909 -122.265210
16-03-30T23:18:17.000 37.875883 -122.265362
16-03-30T23:30:18.000 37.875899 -122.265177
16-03-30T23:31:48.000 37.876018 -122.265197
16-03-30T23:33:20.000 37.875917 -122.265263
16-03-30T23:36:18.000 37.875846 -122.265442
16-03-30T23:37:48.000 37.876094 -122.265081
16-03-30T23:40:47.000 37.875915 -122.265791
16-03-30T23:42:18.000 37.875894 -122.265513
16-03-30T23:45:17.000 37.875779 -122.265173
16-03-30T23:46:50.000 37.875927 -122.265323
